F,Accession,Isolate,Country,Host,GenBank_Title
1,QOU08497,MERS-CoV/JC17/Azraq,Jordan,Camelus dromedarius,S protein [Middle East respiratory syndrome-related coronavirus]
1,QOU08541,MERS-CoV/JC26/Ramtha,Jordan,Camelus dromedarius,S protein [Middle East respiratory syndrome-related coronavirus]
1,QOU08574,MERS-CoV/JC31/Ramtha,Jordan,Camelus dromedarius,S protein [Middle East respiratory syndrome-related coronavirus]
1,QOU08585,MERS-CoV/JC32/Ramtha,Jordan,Camelus dromedarius,S protein [Middle East respiratory syndrome-related coronavirus]
1,QOU08625,MERS-CoV/JC33/Ramtha,Jordan,Camelus dromedarius,S protein [Middle East respiratory syndrome-related coronavirus]
1,QGV13484,Merscov/Egypt/Camel/AHRI-FAO-1/2018,Egypt,Camelus,spike protein [Middle East respiratory syndrome-related coronavirus]
1,QDI73610,NRCE-HKU270,Egypt,Camelus dromedarius,S protein [Middle East respiratory syndrome-related coronavirus]
1,QCI31469,KSA_1722,Saudi Arabia,Camelus dromedarius,spike protein [Middle East respiratory syndrome-related coronavirus]
1,QCI31480,KSA_1723,Saudi Arabia,Camelus dromedarius,spike protein [Middle East respiratory syndrome-related coronavirus]
1,QBM11737,camel/MERS/Amibara/118/2017,Ethiopia,Camelus dromedarius,spike [Middle East respiratory syndrome-related coronavirus]
1,QBM11748,camel/MERS/Amibara/126/2017,Ethiopia,Camelus dromedarius,spike [Middle East respiratory syndrome-related coronavirus]
1,QAT98898,011/DAB/C8/F<1,Kenya,Camelus dromedarius,spike protein [Middle East respiratory syndrome-related coronavirus]
1,AXP07345,MERS-CoV camel/Kenya/C1215/2018,Kenya,Camelus dromedarius,S protein [Middle East respiratory syndrome-related coronavirus]
1,AVN89291,MERS-CoV camel/Ethiopia/AAU-EPHI-HKU4412/2017,Ethiopia,Camelus dromedarius,S protein [Middle East respiratory syndrome-related coronavirus]
1,AVN89313,MERS-CoV camel/Ethiopia/AAU-EPHI-HKU4458/2017,Ethiopia,Camelus dromedarius,S protein [Middle East respiratory syndrome-related coronavirus]
1,AVN89324,MERS-CoV camel/Morocco/CIRAD-HKU213/2015,Morocco,Camelus dromedarius,S protein [Middle East respiratory syndrome-related coronavirus]
1,AVN89334,MERS-CoV camel/Burkina Faso/CIRAD-HKU434/2015,Burkina Faso,Camelus dromedarius,S protein [Middle East respiratory syndrome-related coronavirus]
1,AVN89354,MERS-CoV camel/Nigeria/NS004/2015,Nigeria,Camelus dromedarius,S protein [Middle East respiratory syndrome-related coronavirus]
1,AVN89387,MERS-CoV camel/Nigeria/NV1657/2016,Nigeria,Camelus dromedarius,S protein [Middle East respiratory syndrome-related coronavirus]
1,AQZ41296,,Oman,Camelus,spike protein [Middle East respiratory syndrome-related coronavirus]
1,ASU45818,,United Arab Emirates,Camelus,spike glycoprotein [Middle East respiratory syndrome-related coronavirus]
1,ASU89944,,United Arab Emirates,Camelus dromedarius,spike glycoprotein [Middle East respiratory syndrome-related coronavirus]
1,ASU89955,,United Arab Emirates,Camelus dromedarius,spike glycoprotein [Middle East respiratory syndrome-related coronavirus]
1,ASU89966,,United Arab Emirates,Camelus dromedarius,spike glycoprotein [Middle East respiratory syndrome-related coronavirus]
1,ASU89988,,United Arab Emirates,Camelus dromedarius,spike glycoprotein [Middle East respiratory syndrome-related coronavirus]
1,ASU90010,,United Arab Emirates,Camelus dromedarius,spike glycoprotein [Middle East respiratory syndrome-related coronavirus]
1,ASU90076,,United Arab Emirates,Camelus dromedarius,spike glycoprotein [Middle East respiratory syndrome-related coronavirus]
1,ASU90142,,United Arab Emirates,Camelus dromedarius,spike glycoprotein [Middle East respiratory syndrome-related coronavirus]
1,ASU90175,,United Arab Emirates,Camelus dromedarius,spike glycoprotein [Middle East respiratory syndrome-related coronavirus]
1,ASU90186,,United Arab Emirates,Camelus dromedarius,spike glycoprotein [Middle East respiratory syndrome-related coronavirus]
1,ASU90197,,United Arab Emirates,Camelus dromedarius,spike glycoprotein [Middle East respiratory syndrome-related coronavirus]
1,ASU90230,,United Arab Emirates,Camelus dromedarius,spike glycoprotein [Middle East respiratory syndrome-related coronavirus]
1,ASU90241,,United Arab Emirates,Camelus dromedarius,spike glycoprotein [Middle East respiratory syndrome-related coronavirus]
1,ASU90307,,United Arab Emirates,Camelus dromedarius,spike glycoprotein [Middle East respiratory syndrome-related coronavirus]
1,ASU90329,,United Arab Emirates,Camelus dromedarius,spike glycoprotein [Middle East respiratory syndrome-related coronavirus]
1,ASU90340,,United Arab Emirates,Camelus dromedarius,spike glycoprotein [Middle East respiratory syndrome-related coronavirus]
1,ASU90362,,United Arab Emirates,Camelus dromedarius,spike glycoprotein [Middle East respiratory syndrome-related coronavirus]
1,ASU90373,,United Arab Emirates,Camelus dromedarius,spike glycoprotein [Middle East respiratory syndrome-related coronavirus]
1,ASU90406,,United Arab Emirates,Camelus dromedarius,spike glycoprotein [Middle East respiratory syndrome-related coronavirus]
1,ASU90439,,United Arab Emirates,Camelus dromedarius,spike glycoprotein [Middle East respiratory syndrome-related coronavirus]
1,ASU90516,,United Arab Emirates,Camelus dromedarius,spike glycoprotein [Middle East respiratory syndrome-related coronavirus]
1,ASU90527,,United Arab Emirates,Camelus dromedarius,spike glycoprotein [Middle East respiratory syndrome-related coronavirus]
1,ASU90549,,United Arab Emirates,Camelus dromedarius,spike glycoprotein [Middle East respiratory syndrome-related coronavirus]
1,ASU90604,,United Arab Emirates,Camelus dromedarius,spike glycoprotein [Middle East respiratory syndrome-related coronavirus]
1,ASU90681,,United Arab Emirates,Camelus dromedarius,spike glycoprotein [Middle East respiratory syndrome-related coronavirus]
1,ASU90747,,United Arab Emirates,Camelus dromedarius,spike glycoprotein [Middle East respiratory syndrome-related coronavirus]
1,ASU90791,,United Arab Emirates,Camelus dromedarius,spike glycoprotein [Middle East respiratory syndrome-related coronavirus]
1,ASU90802,,United Arab Emirates,Camelus dromedarius,spike glycoprotein [Middle East respiratory syndrome-related coronavirus]
1,ASU90857,,United Arab Emirates,Camelus dromedarius,spike glycoprotein [Middle East respiratory syndrome-related coronavirus]
1,ASU91010,,United Arab Emirates,Camelus dromedarius,spike glycoprotein [Middle East respiratory syndrome-related coronavirus]
1,ASU91208,,United Arab Emirates,Camelus dromedarius,spike glycoprotein [Middle East respiratory syndrome-related coronavirus]
1,ANI69824,D1164.1/14,United Arab Emirates,Camelus dromedarius,spike protein [Middle East respiratory syndrome-related coronavirus]
1,ANI69835,D2597.2/14,United Arab Emirates,Camelus dromedarius,spike protein [Middle East respiratory syndrome-related coronavirus]
1,ANI69878,D389/15,United Arab Emirates,Camelus dromedarius,spike protein [Middle East respiratory syndrome-related coronavirus]
1,ANI69889,D998/15,United Arab Emirates,Camelus dromedarius,spike protein [Middle East respiratory syndrome-related coronavirus]
1,ANI69900,D1157/15,United Arab Emirates,Camelus dromedarius,spike protein [Middle East respiratory syndrome-related coronavirus]
1,ANI69922,D1189.1/15,United Arab Emirates,Camelus dromedarius,spike protein [Middle East respiratory syndrome-related coronavirus]
1,ALL26396,KSA_1725,Saudi Arabia,Camelus dromedarius,S protein [Middle East respiratory syndrome-related coronavirus]
1,ALL26409,KSA_1724,Saudi Arabia,Camelus dromedarius,S protein [Middle East respiratory syndrome-related coronavirus]
1,ALA49341,camel/Jeddah/F13A/2014,Saudi Arabia,Camelus,spike protein [Middle East respiratory syndrome-related coronavirus]
1,ALA49363,camel/Riyadh/Ry84N/2014,Saudi Arabia,Camelus,spike protein [Middle East respiratory syndrome-related coronavirus]
1,ALA49374,camel/Jeddah/401/2014,Saudi Arabia,Camelus,spike protein [Middle East respiratory syndrome-related coronavirus]
1,ALA49396,camel/Jeddah/D33(b)/2014,Saudi Arabia,Camelus,spike protein [Middle East respiratory syndrome-related coronavirus]
1,ALA49451,camel/Jeddah/D40/2014,Saudi Arabia,Camelus,spike protein [Middle East respiratory syndrome-related coronavirus]
1,ALA49462,camel/Jeddah/D42/2014,Saudi Arabia,Camelus,spike protein [Middle East respiratory syndrome-related coronavirus]
1,ALA49473,camel/Jeddah/D43(b)/2014,Saudi Arabia,Camelus,spike protein [Middle East respiratory syndrome-related coronavirus]
1,ALA49649,camel/Jeddah/O47(b)/2014,Saudi Arabia,Camelus,spike protein [Middle East respiratory syndrome-related coronavirus]
1,ALA49660,camel/Jeddah/S100/2014,Saudi Arabia,Camelus,spike protein [Middle East respiratory syndrome-related coronavirus]
1,ALA49671,camel/Jeddah/S73/2014,Saudi Arabia,Camelus,spike protein [Middle East respiratory syndrome-related coronavirus]
1,ALA49803,camel/Jeddah/Jd175/2015,Saudi Arabia,Camelus,spike protein [Middle East respiratory syndrome-related coronavirus]
1,ALA49957,camel/Taif/T3/2015,Saudi Arabia,Camelus,spike protein [Middle East respiratory syndrome-related coronavirus]
1,ALA50067,camel/Taif/T157(b)/2015,Saudi Arabia,Camelus,spike protein [Middle East respiratory syndrome-related coronavirus]
1,AHX71946,Camel/Qatar_2_2014,Qatar,Camelus dromedarius,spike protein [Middle East respiratory syndrome-related coronavirus]
1,AHY22545,KSA-CAMEL-503,Saudi Arabia,Camelus dromedarius,S protein [Middle East respiratory syndrome-related coronavirus]
1,AHY22555,KSA-CAMEL-363,Saudi Arabia,Camelus dromedarius,S protein [Middle East respiratory syndrome-related coronavirus]
1,AHY22565,KSA-CAMEL-376,Saudi Arabia,Camelus dromedarius,S protein [Middle East respiratory syndrome-related coronavirus]
1,AHX00711,KFU-HKU 13,Saudi Arabia,Camelus dromedarius,spike [Middle East respiratory syndrome-related coronavirus]